covariate,log_hazard_coef,hazard_ratio,p_value,coef_ci_lower,coef_ci_upper
insurance_status_Uninsured,1.3681734376988621,3.9281690930671584,4.8220238736365146e-92,1.236388895055419,1.4999579803423053
region_West,0.9533076840349276,2.594276530315459,4.883112977343509e-25,0.7725230011879658,1.1340923668818894
therapy_class_Osteoporosis,0.2881126507563307,1.3339075613555922,0.012645936111755423,0.06165563367899801,0.5145696678336633
region_South,0.262561210280126,1.3002560547700552,0.005453104929419774,0.0773811071082591,0.447741313451993
region_North,0.077359590519572,1.0804305191199854,0.4213840823832977,-0.11121976448675516,0.26593894552589914
therapy_class_Depression/Anxiety,0.016596155839269548,1.0167346370582104,0.8769865654677409,-0.19354523063758977,0.22673754231612886
age,-0.019542294002585697,0.9806474188071046,9.040489580039345e-35,-0.022656255140085606,-0.016428332865085788
region_East,-0.1858972261375786,0.8303589297911743,0.06597421330590161,-0.3840654517695251,0.012270999494367912
therapy_class_Hyperlipidemia,-0.282967133035858,0.7535445541745597,0.008662454608540402,-0.4942376521662969,-0.07169661390541918
therapy_class_Diabetes (Type 2),-0.42214394947727424,0.6556396536147948,4.753393509228103e-05,-0.6255614373722139,-0.21872646158233458
therapy_class_Hypertension,-0.5491758393260079,0.5774255057228405,1.539910483094484e-07,-0.7542866992277735,-0.3440649794242423
supply_90,-1.1098632483941417,0.3296040318740229,1.0436913044485908e-41,-1.2706416064451507,-0.9490848903431328
supply_60,-1.1943324527519927,0.3029060908340946,2.7097675567997444e-53,-1.3466584327314932,-1.0420064727724923
